COLECCIÓN V.A. BELAUNDE. SERIE DIPLOMAS       ARCHIVO HISTÓRICO RIVA-AGÜERO   IRA- PUCP,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,referenceCode,title,date,levelOfDescription
VAB-DIP-0011,1961-Jul.-21,Lima,Centro de Estudios Histórico-Militares del Perú,Miembro de Número,Perú,Reg. N° 26,dc6a224f,Sin título,2025-03-13,Documento
VAB-DIP-0012,1962-Oct.-11,México D.F.,Academia Mexicana de Derecho Internacional,Académico,México,Gran formato.,dc6a224f,Sin título,2025-03-13,Documento
VAB-DIP-0013,1965-Mar.-9,Madrid,Real Academia de Ciencias Morales y Políticas,Académico correspondiente,España,Gran formato.,dc6a224f,Sin título,2025-03-13,Documento
VAB-DIP-0014,1960-Jul.-1,Lima,Club Arequipa,Socio honorario,Perú,Gran formato. En pergamino.,dc6a224f,Sin título,2025-03-13,Documento
VAB-DIP-0015,1951-Set.-27,Santa Fe,Departamento de Estudios Etnográficos y Coloniales,Miembro honorario,Argentina,Sellada con réplica del sello encontraado en las ruinas de la primitiva ciudad de Santa Fe.,dc6a224f,Sin título,2025-03-13,Documento
VAB-DIP-0016,1964-Jul.-15,San Antonio (Texas),"The County of Bexar, State of Texas",Ciudadano de honor,EE.UU.,Sello en platina dorada.,dc6a224f,Sin título,2025-03-13,Documento
VAB-DIP-0017,1957-Nov.-15,Lima,Instituto Cultural Peruano- Brasileño,Miembro honorario fundador,Perú,,dc6a224f,Sin título,2025-03-13,Documento
VAB-DIP-0018,1964-Jul.-23,San Antonio (Texas),The Council of International Relations,Miembro Honorario,EE.UU.,Sello en  platina dorada,dc6a224f,Sin título,2025-03-13,Documento
VAB-DIP-0019,1964-Abr.-29,San Antonio (Texas),The Council of International Relations,Miembro honorario,EE.UU.,Al ex presidente de la Asamblea de las Naciones Unidas.,dc6a224f,Sin título,2025-03-13,Documento
VAB-DIP-0020,1968,San Antonio (Texas),Fair of the Americas,Embajador Internacional,EE.UU.,Rota la esquina inferior izquierda,dc6a224f,Sin título,2025-03-13,Documento
VAB-DIP-0021,1937-Abr.-21,Roma-Lima,La Reale Accademia d' Italia,Medalla por el premio Roma 1937-XV,Italia,Pergamino.,dc6a224f,Sin título,2025-03-13,Documento
VAB-DIP-0022,1947-Nov.-3,Santiago,Academia Chilena Correspondiente de la Real Academia Española,Miembro honorario,Chile,Gran formato. Pérdida de porción en el margen derecho; picado,dc6a224f,Sin título,2025-03-13,Documento
VAB-DIP-0023,1933-Set.-19,Lima,"Compañeros de representación ante la Asamblea Constituyente
de 1931","Homenaje a la designación de  miembro de la
Delegación Peruana a la
Conferencia de Río de
Janeiro.",Perú,Gran formato.,dc6a224f,Sin título,2025-03-13,Documento
VAB-DIP-0024,1931-Set.-4,Arequipa,Universidad del Gran Padre San Agustín de Arequipa,"Catedrático honorario del curso de Historia de
América",Perú,,dc6a224f,Sin título,2025-03-13,Documento
VAB-DIP-0025,1943-Nov.-9,Washington,Catholica Universitas Americae,Grado de doctor honorario en leyes.,EE.UU.,"Gran formato. Apolillado, pérdida de porciónes considerables en los márgenes superior e inferior.",dc6a224f,Sin título,2025-03-13,Documento
VAB-DIP-0026,1952-Abr.-21,Lima,Colectividad Árabe,Por su labor en las Naciones Unidas y por su identificación espiritual con la Comunidad Árabe de Naciones,Perú,"Gran formato. Recuerdo del banquete.
Deteriorado, multiples roturas en los bordes, pérdida de porción en en los márgenes inferior, derecho y en esquina superior derecha",dc6a224f,Sin título,2025-03-13,Documento
VAB-DIP-0027,1960-Feb.-26,Lima,Pontificia Universidad Católica del Perú,Homenaje por elección como presidente de la Asamblea General de las Naciones Unidas.,Perú,Gran formato. Recuerdo de la recepción. Múltiples roturas,dc6a224f,Sin título,2025-03-13,Documento
VAB-DIP-0028,1957-Jun.-28,Lima,Rotary Internacional,"Recuerdo por su magnífica actuación en las Naciones
Unidas",Perú,Gran formato.,dc6a224f,Sin título,2025-03-13,Documento
VAB-DIP-0029,1965-Dic.-8,Roma,Sacra Congregatio de Seminariis et studiorum Universitatibus,Reconocimiento como Rector emérito de la PUCP,Italia,"En latín, con sello de agua, picado. Prot.
N.1872/65",dc6a224f,Sin título,2025-03-13,Documento
VAB-DIP-0030,1963-Nov.-23,El Vaticano,Augusto Pontífice Paulo VI,Bendición Apostólica especial por su 80 cumpleaños.,Italia,Sello papal. Firmado por el cardenal A.G. Cicognani.,dc6a224f,Sin título,2025-03-13,Documento
VAB-DIP-0033,1929-Jun.-20,[Roma],Santa Sede,Bendición apostólica e indulgencia plenaria,Italia,Otorgada a Luisa Paz Soldán de Moreyra y familia,dc6a224f,Sin título,2025-03-13,Documento
VAB-DIP-0034,1956,Madrid,Asociación de Universitarios peruanos residentes en Madrid,Miembro de honor,España,,dc6a224f,Sin título,2025-03-13,Documento
VAB-DIP-0035,1956-May.-10,Santiago de Compostela,La Archicofradía del Glorioso Apóstol Santiago,Hermano Mayor,España,,dc6a224f,Sin título,2025-03-13,Documento
VAB-DIP-0036,1935-Jul.-13,Cali,Federación de Empleados del Valle del Cauca,Huéspedes de honor,Colombia,L. Quiñones R.; Daniel Rengifo C. Proposición N° 14,dc6a224f,Sin título,2025-03-13,Documento
